Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
4x4grid,N/A,5,4.2_reward__min_goal,	1410,100,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.373,4.1757
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,47.2642,4.198
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,48.3756,4.198
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.9789,4.198
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,36.9834,4.198
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,37.7689,4.198
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,38.0753,4.1942
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,38.2581,4.1942
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,38.3136,4.1942
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,37.1402,4.1942
4x4grid,N/A,5,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,37.0944,4.1942
4x4grid,N/A,10,4.2_reward__min_goal,	5780,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,6.051,4.1886
4x4grid,N/A,10,4.2_reward__min_goal,	5780,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,6.028,4.1886
4x4grid,N/A,10,4.2_reward__min_goal,	5780,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,6.044,4.1886
4x4grid,N/A,10,4.2_reward__min_goal,	5780,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,6.028,4.1886
4x4grid,N/A,10,4.2_reward__min_goal,	5780,400,lr=0.1 args=--constraint-method project-gradient,momentum-sign,5.197,4.1886
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,461.2463,4.185
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,467.6144,4.185
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,467.479,4.185
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,467.7748,4.185
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,467.093,4.185
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
4x4grid,N/A,10,4.2_reward__min_goal,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
